"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1990-02-01 353.94 708.98 1999.63 1822.78
1990-02-02 353.68 711.55 2013.33 1858.08
1990-02-03 356.02 714.4 2044.32 1910.67
1990-02-06 357.28 712.36 2045.85 1939.43
1990-02-07 355.05 704.06 2035.43 1937.72
1990-02-08 359.53 699.91 2013.02 1900.1
1990-02-09 358.7 707.08 2023.94 1915.79
1990-02-10 359.58 701.8 2016.23 1885.89
1990-02-13 355.89 694.03 1983.46 1860.39
1990-02-14 357.01 695.97 1960.12 1840.98
1990-02-15 358.1 697.52 1969.21 1832.23
1990-02-16 361.23 702.23 1972.26 1850.96
1990-02-17 358.99 705.88 1987.41 1893.66
1990-02-20 358.99 697.14 1952.26 1869.19
1990-02-21 353.91 691.08 1933.28 1823.81
1990-02-22 353.57 685.8 1915.89 1807.19
1990-02-23 351.48 688.69 1951.07 1820.15
1990-02-24 349.9 678.85 1915.72 1789.64
1990-02-27 354.88 685.65 1916.22 1776.04
1990-02-28 356.66 687.34 1938.82 1804.32
1990-03-01 358.5 687.64 1964.63 1809.92
1990-03-02 359.46 682.32 1946.32 1787.87
1990-03-03 362.49 687.33 1976.1 1818.23
1990-03-06 360.68 679.9 1990.92 1833.16
1990-03-07 365.24 675.49 1988.66 1822.22
1990-03-08 364.19 679.83 1997.45 1844.72
1990-03-09 367.79 685.82 2037.19 1860.92
1990-03-10 365.42 681.04 2040.5 1858.74
1990-03-13 366.24 679.63 2031.45 1846.08
1990-03-14 363.37 680.15 2043.89 1867.48
1990-03-15 364.32 680.63 2067.33 1862.84
1990-03-16 365.63 683.35 2086.56 1879.32
1990-03-17 369.79 692.21 2080.55 1889.69
1990-03-20 371.56 684.34 2057.34 1906.77
1990-03-21 369.46 690.96 2045.05 1908.83
1990-03-22 367.49 688.06 2057.57 1937.99
1990-03-23 363.11 690.72 2033.07 1918.98
1990-03-24 364.77 698.33 2057.81 1932.12
1990-03-27 365.44 705.25 2086.23 1939.53
1990-03-28 369.64 695.45 2066.9 1924.98
1990-03-29 370.19 698.13 2059.85 1928.6
1990-03-30 368.88 694.46 2068.95 1953.89
1990-03-31 368 689.83 2095.05 1968.55
1990-04-03 366.72 681.76 2068.9 1931.3
1990-04-04 372.13 687.61 2109.67 1968.33
1990-04-05 369.53 684.82 2126.61 1963.25
1990-04-06 369.15 687.26 2154.84 1958.39
1990-04-07 368.48 681.65 2199.29 1947.84
1990-04-10 369.89 685.66 2214.16 1923.86
1990-04-11 370.65 682.53 2205.12 1898.51
1990-04-12 370.49 681.9 2234.57 1893.77
1990-04-13 373.14 683.93 2248.98 1918.17
1990-04-14 373.14 683.93 2248.98 1918.17
1990-04-17 373.61 683.93 2248.98 1918.17
1990-04-18 373.55 681.6 2259.27 1914.35
1990-04-19 369.28 678.95 2229.88 1889.76
1990-04-20 366.43 672.43 2228.21 1878.87
1990-04-21 363.22 673.16 2262.43 1884.33
1990-04-24 358.85 664.59 2220.4 1837.5
1990-04-25 358.13 664.8 2232.76 1830.53
1990-04-26 359.98 659.64 2222.31 1843.31
1990-04-27 361 656.73 2203.02 1827.07
1990-04-28 356.88 648.4 2196.77 1825.52
1990-05-01 358.81 648.16 2175.71 1813.25
1990-05-02 360.48 652.56 2175.71 1813.25
1990-05-03 362.92 658.64 2198.28 1843.41
1990-05-04 364.21 657.79 2233.32 1881.79
1990-05-05 367.46 666.2 2237.24 1912.89
1990-05-08 369.9 666.2 2255.53 1934.95
1990-05-09 371.64 672.31 2255.53 1899.28
1990-05-10 372.64 666.36 2238.36 1896.58
1990-05-11 373.74 664.59 2239.83 1893.42
1990-05-12 382.72 670.42 2226.3 1875.03
1990-05-15 385.89 684.03 2224.48 1860.33
1990-05-16 385.4 683.32 2204.59 1851.25
1990-05-17 385.18 686.05 2204.62 1841.77
1990-05-18 385.71 705.59 2240.01 1841.58
1990-05-19 385.9 700.89 2235.99 1843.59
1990-05-22 389.64 704.87 2227.53 1811.18
1990-05-23 390.33 713.89 2251.78 1813.26
1990-05-24 391.28 706.54 2260.67 1831.8
1990-05-25 390.37 703.36 2260.67 1831.8
1990-05-26 386.37 699.79 2249.03 1823.17
1990-05-29 386.37 699.79 2251.68 1828.96
1990-05-30 393.08 710.74 2260.94 1842.74
1990-05-31 393.32 726.4 2258.51 1840.54
1990-06-01 393.8 726.05 2244.35 1844.81
1990-06-02 395.94 734.19 2223.68 1856.95
1990-06-05 400.64 736.54 2223.68 1856.95
1990-06-06 399.86 736.85 2206.55 1876.69
1990-06-07 398.05 730.2 2183.84 1849.02
1990-06-08 396.09 736.35 2189.55 1837.43
1990-06-09 391.25 732.67 2160.99 1822.23
1990-06-12 394.61 728.79 2145.97 1809.66
1990-06-13 399.67 735.52 2149.66 1800.36
1990-06-14 398.21 746.33 2170.84 1787.39
1990-06-15 396.04 745.61 2176.03 1787.39
1990-06-16 396.06 742.3 2158.84 1792.26
1990-06-19 389.5 735.54 2133.58 1797.42
1990-06-20 391.27 735.29 2150.36 1836.74
