"Date" "AAPL" "AXP" "BA" "CAT" "CSCO"
"2008-01-01" 16.921555 40.809601 61.713223 48.84557 20.791018
"2008-01-08" 17.030151 36.919231 60.819561 47.807949 20.918331
"2008-01-15" 15.370759 36.180828 58.384415 44.638294 19.33493
"2008-01-22" 12.384437 39.325176 57.788635 48.749058 19.175798
"2008-01-29" 12.540661 39.540897 61.73555 50.707333 18.953003
"2008-02-05" 12.331091 37.027084 60.417442 49.613857 18.714308
"2008-02-12" 11.871949 37.425312 63.745602 49.992634 18.539261
"2008-02-19" 11.406143 37.508255 63.356483 51.636433 18.937092
"2008-02-26" 11.595703 34.911491 60.370487 52.315365 19.414499
"2008-03-04" 11.401379 33.218994 55.663277 49.11356 19.088274
"2008-03-11" 12.071993 34.604507 56.493988 53.215874 19.326977
"2008-03-18" 13.291291 39.333488 57.092648 54.337959 20.401138
"2008-03-25" 13.669459 36.272099 55.655815 55.953159 19.167841
"2008-04-01" 14.849706 38.61998 56.112293 55.209873 19.048492
"2008-04-08" 14.077165 35.442463 57.78862 53.987747 18.547213
"2008-04-15" 16.018509 38.062222 59.188072 59.555202 19.804377
"2008-04-22" 16.407167 39.886211 63.595917 59.612354 20.170389
"2008-04-29" 17.59693 41.993378 64.2994 59.411346 20.910376
"2008-05-06" 17.923664 41.601936 63.46125 60.179577 20.560268
"2008-05-13" 17.48929 40.444241 65.463989 60.509819 20.981981
"2008-05-20" 17.257816 37.854008 61.26112 58.549789 19.971474
"2008-05-27" 17.727434 37.687431 61.013008 59.109795 20.966066
"2008-06-03" 17.299726 36.737968 55.599632 58.018509 21.029724
"2008-06-10" 16.84535 37.212696 56.404121 58.09029 20.902411
"2008-06-17" 16.494801 34.047787 56.832672 57.436939 19.533854
"2008-06-24" 15.949933 31.37425 49.411873 52.999947 18.507431
"2008-07-01" 16.685314 32.973373 48.33672 50.838898 17.958416
"2008-07-08" 16.563387 31.240999 47.509689 50.020405 16.947905
"2008-07-15" 15.840381 34.212654 51.306549 52.576366 17.377569
"2008-07-22" 14.707769 29.586828 46.870613 49.973373 17.488962
"2008-07-29" 14.596321 30.824842 46.133789 48.70219 17.496922
"2008-08-05" 16.532902 32.765507 50.088551 51.136219 19.589554
"2008-08-12" 16.707222 31.778456 48.143387 49.995045 19.486109
"2008-08-19" 16.436691 31.627876 48.468678 49.518349 19.263325
"2008-08-26" 16.149017 33.19212 49.595844 51.085655 19.136017
"2008-09-02" 15.043075 33.894783 48.347633 46.643742 18.594954
"2008-09-09" 13.370352 29.678846 47.091858 45.654236 17.807234
"2008-09-16" 12.483504 31.192917 44.48951 46.65818 18.388079
"2008-09-23" 10.026814 27.227919 41.962814 43.256321 17.337788
"2008-09-30" 9.348577 25.153414 38.800663 35.535332 16.27953
"2008-10-07" 10.503101 22.95293 35.615818 35.737568 15.332682
"2008-10-14" 9.377156 20.47267 35.335899 29.54055 15.086025
"2008-10-21" 8.77227 19.404898 32.045155 23.914579 12.80243
"2008-10-28" 10.188749 23.810516 39.980785 28.459669 13.685634
"2008-11-04" 9.133296 20.161587 34.904716 27.292389 13.980028
"2008-11-11" 8.396005 16.285648 31.386625 26.044867 12.89791
"2008-11-18" 8.854193 17.807438 31.058899 26.511776 13.049089
"2008-11-25" 8.471256 16.512651 30.395796 26.686865 11.903318
"2008-12-02" 9.499086 20.548336 32.659466 30.947422 13.725411
"2008-12-09" 9.025655 16.260427 29.526901 30.794222 13.39919
"2008-12-16" 8.167386 15.486926 31.34091 30.480507 13.025222
"2008-12-23" 8.250257 14.88157 30.479631 30.88905 12.738777
"2008-12-30" 9.00946 16.773296 35.189907 33.617569 13.614024
"2009-01-06" 8.445536 15.831636 33.337803 30.050079 13.049089
"2009-01-13" 7.842559 14.424672 32.362232 28.853628 12.587598
"2009-01-20" 8.538889 12.889771 32.781429 24.091469 12.969522
"2009-01-27" 8.717021 14.399232 31.096996 22.336414 12.181803
"2009-02-03" 9.764855 15.052196 32.621365 24.128338 13.407142
"2009-02-10" 9.445743 13.347695 31.164078 22.815737 12.81039
"2009-02-17" 8.282645 10.303336 26.529497 18.523958 11.42591
"2009-02-24" 8.37695 9.379004 22.718676 16.348574 11.394085
"2009-03-03" 7.916856 9.022839 23.865768 17.639053 10.837111
"2009-03-10" 9.089478 10.735821 26.044479 19.482603 12.293197
"2009-03-17" 10.255431 12.347047 27.330153 21.849716 13.510582
"2009-03-24" 9.953465 10.863025 27.345549 20.301142 12.977478
"2009-03-31" 11.283261 12.855851 29.377996 23.088581 13.948202
"2009-04-07" 11.451866 17.582506 28.600431 24.452805 14.234647
"2009-04-14" 11.478536 16.310646 28.084621 22.476522 13.773152
"2009-04-21" 11.881478 20.822292 30.386513 24.939631 14.61657
"2009-04-28" 12.58067 23.443348 32.472832 28.741451 15.515687
"2009-05-05" 12.342525 22.377735 34.428295 28.704109 14.807535
"2009-05-12" 12.064371 22.45508 34.494598 28.218615 14.895058
"2009-05-19" 11.669052 20.109024 33.382874 25.626804 14.242606
"2009-05-26" 13.274143 22.33477 37.083443 28.046816 15.515687
"2009-06-02" 13.702803 22.042587 41.071655 28.808678 15.810085
"2009-06-09" 12.963606 21.681652 38.498371 26.978725 15.404297
"2009-06-16" 13.085532 19.962934 36.461498 24.170307 14.648398
"2009-06-23" 13.523717 20.624643 33.157429 25.947979 15.109891
"2009-06-30" 13.20365 20.212152 31.532595 23.677343 14.743879
"2009-07-07" 13.558964 21.23074 31.439301 23.752033 14.775704
"2009-07-14" 14.565837 25.014523 32.807583 27.37459 16.828554
"2009-07-21" 15.250738 24.572937 32.838673 32.415283 17.377569
"2009-07-28" 15.853719 24.806715 34.043686 34.124531 17.958416
